"id","title","level","raw_community","relationship_ids","text_unit_ids"
"1","Community 1",0,"1","['e22d1d1cd8d14f12b81828d940f40d70' '9ab48505fb1b487babd0d1f6d3a3f980'
 '148fffeb994541b2b4b6dcefda7001a8' '89c08e793298442686292454a1abff31'
 '0467928aa65e4a4fba62bdb1467e3a54' '43c3390303c6476cb65f584e37c3e81c'
 'fa14b16c17e3417dba5a4b473ea5b18d' '7cc3356d38de4328a51a5cbcb187dac3'
 'bef16fb5fd7344cca5e295b13ef3e0cd' 'bb9e01bc171d4326a29afda59ece8d17'
 '3c063eea52e94164b70c99431ea30bae' '252cc8452bfc4c2aa58cab68d8b61879']","['0f4f44a0eb6ff6da95c8f12946faff91,13b96cfd09f03307717076cf0624218f,3bb28165d90d7db5f19e2208ec0a8b34,65e2981c6c6a6b1cddbdde3166ad329b,8bd4c7f5f1ddf7c6d91f4bae802bd4ba,9618bb9b971fa5efb45c79574ff34860,dd4335de10ecc873b69ad14e533cde00,feccd5ea2e791c74245cd72130cc8a97'
 '65e2981c6c6a6b1cddbdde3166ad329b'
 '13b96cfd09f03307717076cf0624218f,9618bb9b971fa5efb45c79574ff34860'
 '0f4f44a0eb6ff6da95c8f12946faff91']"
"2","Community 2",0,"2","['91ff849d12b24574b0691dbddf44968b' 'd73c1f2fb3094d8dace42ad2a76e9a52'
 'cdc8901e668749889bd49bebdc4ff1f6' 'de61b2670999433f807a6a1dc2b81e43'
 '43c3390303c6476cb65f584e37c3e81c' '0467928aa65e4a4fba62bdb1467e3a54']","['13b96cfd09f03307717076cf0624218f,64f6ebc1721155ebd85f715b8c39c8bb,9618bb9b971fa5efb45c79574ff34860,feccd5ea2e791c74245cd72130cc8a97'
 '13b96cfd09f03307717076cf0624218f,c97ef3a4adea86ede4938c80d59abb94,feccd5ea2e791c74245cd72130cc8a97'
 '9618bb9b971fa5efb45c79574ff34860'
 '13b96cfd09f03307717076cf0624218f,feccd5ea2e791c74245cd72130cc8a97']"
"3","Community 3",0,"3","['de837ff3d626451282ff6ac77a82216d' '460295fed3ae4cd39f9f274cec9c2506'
 '553b285bba60460ab1ed8341ae61282b' 'cec95bf17e7e4c939b56c9c6f402a29f'
 '9ab48505fb1b487babd0d1f6d3a3f980' '148fffeb994541b2b4b6dcefda7001a8'
 '89c08e793298442686292454a1abff31']","['65e2981c6c6a6b1cddbdde3166ad329b,8bd4c7f5f1ddf7c6d91f4bae802bd4ba'
 '8bd4c7f5f1ddf7c6d91f4bae802bd4ba']"
"4","Community 4",0,"4","['bbf148ae4d48422f8fdef754cfa2b9e4' '3e95dacfe57b4d57b5da4310ef2e157f'
 'fa14b16c17e3417dba5a4b473ea5b18d' 'de61b2670999433f807a6a1dc2b81e43']","['c97ef3a4adea86ede4938c80d59abb94'
 '3bb28165d90d7db5f19e2208ec0a8b34,c97ef3a4adea86ede4938c80d59abb94']"
"0","Community 0",0,"0",['af1d0fec22114a3398b8016f5225f9ed' 'bb9e01bc171d4326a29afda59ece8d17'],['0f4f44a0eb6ff6da95c8f12946faff91']
